product_name,old_category,new_category
：49 (區域型商品請註明 試吃試用品請標示價格0元),其他,其他
：厚奶拿鐵/酷碰券特大杯59 https://i.imgur.com/4PVYtVB.jpeg +49加購造型燈箱,飲料,飲料
：乖乖玉米脆條 玉米濃湯口味 / 30元,飲料,飲料
：蜜桃颶風蛋糕/45 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：芋頭牛奶霜淇淋 49 ibon票券優惠買一送一 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：詹姆士香蒜胡椒肉骨茶泡麵 79元,鹹食,鹹食
：焦糖布蕾馬卡龍/$59 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：金沙滷肉粽香風味新極大飯糰/55 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：醇黑可可波蘿奶酥/39 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：義式蛋蛋青醬鮪魚冷義大利麵 原價79，領優惠券買63,便當,便當
：BBQ 韓式柚子冰茶/$38,飲料,飲料
：抹茶紅豆布蕾/$49,甜點,甜點
： 滿餡麵包 香濃花生/39 (區域型商品請註明 試吃試用品請標示價格0元),麵包,麵包
：樂法 葡萄水 $29 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：,其他,其他
：樂法 金桔/檸檬咖啡 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：焦糖拿鐵烤雞細扁麵 99元 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：韓式燒肉拌飯/$95,便當,便當
： 大大大香辣鹹酥雞/59 兩件88元,鹹食,鹹食
：拿坡里風味肉球義大利麵(含牛肉)/99元 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
： 喜勒焦糖烤布丁膩/45元 （目前有活動2個60元） 刷聯邦信用卡再打折,甜點,甜點
：芋泥Q皮半月燒 49元（友善35）,甜點,甜點
：莊園牛奶霜淇淋49 取件優惠買一送一,冰品,冰品
：藤椒雞丁炒飯/$95,便當,便當
"：日式胡麻雞絲冷麵85, 配御茶園99",飲料,飲料
：日東紅茶 皇家奶茶 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
： (區域型商品請註明 試吃試用品請標示價格0元),其他,其他
：鮮橙茉綠/$35,飲料,飲料
：乖乖玉米脆條-蘋果牛奶、木瓜牛奶雙風味 / 35元 (目前第二件6折),飲料,飲料
：番茄起司手工千層麵 / 109,甜點,甜點
： 抹茶紅豆串糰子 38 和風蕨餅小盛 49,其他,其他
： 經典總匯三明治/45 (區域型商品請註明 試吃試用品請標示價格0元),麵包,麵包
： 89,其他,其他
：嘉義崇文白醋涼麵 / 65,便當,便當
：嘉義崇文白醋涼麵 / 65 : 【便利商店/廠商名稱】：全家 : 【規格/內容物/熱量】：如附圖 : 【評分】：75 : : 【心得】：近期在threads 上這款涼麵很紅 大家都說很好吃 而且一定要買全家的 7-1 1 : 的不行 所以也去買來試試看。 : 吃起來很清爽、醋味很解膩，跟一般涼麵比起來就是多了醋味，然後麵條粗一點，不過 熱 : 量也是因為美乃滋多了很多。 : 有網路說的超好吃嗎，其實也沒有，但是滿便宜清爽的解決一餐很不錯，而且可以+14 元 : 獲得一杯飲料，更賺了！ : https://i.mopix.cc/vr60F5.jpg : https://i.mopix.cc/3AO9A7.jpg 1月底有去嘉義玩3天~ 這三天嚴格來說是「吃貨行程」 嘉義涼麵我吃過兩家：黃記、火生 上禮拜吃了小欺的嘉義涼麵感想是~ 味道很不像還原度只有30分 全家呢？還原度只有60分 住北部的板友有吃過台北大橋頭六特製涼麵嗎？ 我是覺得「白醋」是靈魂重點 超商的白醋味道跟道地嘉義涼麵還是有落差 我先品嚐白醋後就知道味道道不道地 超商的白醋比較像是比較酸的美奶滋 跟我在嘉義吃的風味有所不同 我有時在想~嘉義在地店家白醋都自己調製？ 還是都用 白雪牌白醋 ？ 那時去福義軒總店買名產時~ 忘了去對面買白雪牌白醋... 有了白雪牌白醋就能自製道地嘉義涼麵 去超商買涼麵後把白雪牌白醋加進去就好 記得喔不要把醬油加進去喔！！ 嘉義涼麵只有麻醬跟白醋而已 話說加了醬油是什味道呢？我是不敢試... -- 原來如此 剛查了一下的確是,便當,便當
：覆盆莓榛果可可三明治/39 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：芭樂、金桔咖啡/45$,飲料,飲料
：乖乖食堂 台酒花雕雞麵,零食,零食
：健身G肉餐盒 /99元 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：濃厚鮮乳布丁/40$,甜點,甜點
：阜杭豆漿饅頭夾豬排蛋/69,飲料,飲料
：鮮蝦明太子冷義大利麵/89 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：優菓甜坊可可玉米片奶酪/40 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：一度贊蒜味豚骨麵59 蒜香綜合滷味49 深夜食堂優惠-10元,鹹食,鹹食
： 台式海陸炒麵，89元（刷聯邦信用卡可再折5%）,便當,便當
：大冰特濃拿鐵65元/可可脆皮泡芙半價23元,飲料,飲料
：多力多滋 芥末口味玉米片/ 50元 (區域型商品請註明 試吃試用品請標示價格0元),零食,零食
：法式蕈菇起司雞排飯糰/62 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
： 7-11 美福 米其林1星米香餐廳 三杯雞燴飯 / 99元 (i珍食 64元 ),便當,便當
：潮粵坊鴨肉捲餅/79 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：媽媽煮藝 蒜香綜合滷味49/香蒜胡椒肉骨茶麵79,鹹食,鹹食
：蔬活腿排補力餐盒 /119 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：冰心乳酪條/42 (區域型商品請註明 試吃試用品請標示價格0元),乳品,乳品
：紅豆燕麥麵包/檸檬燕麥豆漿餐包，都39$,飲料,飲料
：綿蜜雪花蛋糕/35 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：綠寶石葡萄三明治/79$,麵包,麵包
： 懷舊滷雙拼便當 99元,便當,便當
：消費滿199+69元,其他,其他
：玉米起司蛋餅/55,乳品,乳品
： 泰式奶茶 + 多利多茲 爆脆捲爆蒜濃蝦口味 (特價 39 / 40),飲料,飲料
： 官方叫 生乳你個布丁 拜託萊爾富公關你腦子清醒一點 香蕉你個芭樂 1988 最佳損友的熱門梗 牛頭帆都過世了還在玩? 超過六年級生大概看不懂 老老實實弄個日文風不好嗎? 反正玩意就是日本傳來的,飲料,飲料
： 台式炒麵 /89,便當,便當
： 鮮乳坊 綿乳杯子蛋糕/39 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：檸檬卡士達綜合水果三明治/65$,麵包,麵包
：多力多滋爆脆捲/促銷價40元 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：桃氣奶霜蛋糕/49$,甜點,甜點
無敵家蔥蔥玉子拌麵 / 99,便當,便當
： 鐵道滷排便當 / $99,便當,便當
：牧場直送4.0花生牛奶雪糕 40 優惠券買一送一 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：茶裏王 正山小種/39元 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：紅豆丹麥吐司 (區域型商品請註明 試吃試用品請標示價格0元),麵包,麵包
： 7-11 猋師傅重量級饗宴大大大雞排 / 原價99元 特價66元,鹹食,鹹食
： 全家 FamilyMart x 大埔鐵板燒 爆炒雞丁飯 / $99,其他,其他
：港式叉燒油雞雙寶飯 $109 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：多力多滋爆脆捲爆蒜濃蝦口味玉米捲 /40元 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
： (區域型商品請註明 試吃試用品請標示價格0元) 鴨肉捲餅：79元 京醬肉絲飯糰：45元,甜點,甜點
：新品促銷期間一瓶35元 (區域型商品請註明 試吃試用品請標示價格0元),其他,其他
：BF薄荷岩鹽檸檬糖/35,零食,零食
：巧酥餅乾泡芙/$49 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
： 貝納頌 (警告!!) 茶韻拿鐵 特價39,飲料,飲料
：泰式奶茶霜淇淋/49元 ~5/5 5康康任兩件55元,冰品,冰品
： 雙腸大亨堡 75,其他,其他
：茉莉茶園 紅柚淺焙 $28元（嚐鮮價）,飲料,飲料
：「泰式奶茶x起司蛋糕霜淇淋 兩支55元,冰品,冰品
：泰式奶茶霜淇淋 兩支55 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
： 健康志向x船井生醫 玉米鬚茶 健康志向x船井生醫 纖維粉米米花經典湖鹽 兩件合購價59,其他,其他
：鹽烤麻辣雞心 / 55 (區域型商品請註明 試吃試用品請標示價格0元),鹹食,鹹食
：單品拿鐵(中)90 提拉米蘇半價25,飲料,飲料
：好多蛋59$/鮪魚起司溏心蛋45$ 第二件六折,乳品,鹹食
： 貝納頌 蜜香堅果風味 35元,飲料,飲料
：草莓夾心麵包/25,麵包,麵包
：嫩烤香料雞胸排蔬滿盒/129 (區域型商品請註明 試吃試用品請標示價格0元),鹹食,鹹食
：柱侯牛腱飯 109元,便當,便當
：FMC系列商品三件+59元加購,其他,其他
：阜杭豆漿 饅頭夾豬排蛋 69元 (現在有1點OP+62) (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：99 (區域型商品請註明 試吃試用品請標示價格0元),其他,其他
：山葵生鮪魚泥脆卷/42,鹹食,鹹食
：十六茶 水果茶 / $35 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：抹茶菠蘿/45,麵包,麵包
：青醬蛤蜊義大利麵 $89,便當,便當
： 全家滿滿高麗菜豆芽鐵板麵 原價99元 APP優惠券60元,其他,其他
：椒麻雞飯109元/即期品76 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
： 鮮乳坊 莊園鮮乳雞蛋布丁 嘗鮮價 $49,甜點,甜點
： 89 OP+1 79,其他,其他
：黑胡椒豬肉炒麵麵包 原價65 app優惠券39,麵包,麵包
：直立式發光招牌吊飾 消費滿688送的,其他,周邊
：全家場景積木 鹼性離子水款 加購價59元,其他,周邊
： 49,其他,其他
：77乳加星球含餡巧克力,零食,零食
：醬油生鮭脆卷/42,鹹食,鹹食
：老酒花雕雞風味杯麵/39 (區域型商品請註明 試吃試用品請標示價格0元),泡麵,泡麵
：蜜桃山茶花金萱奶蓋雪糕49 買三支可以抽抽樂,冰品,冰品
：黃金起司蛋捲燒/55,甜點,甜點
： 白熊冰淇淋/青檸紅茶馬卡龍 119/49,冰品,冰品
：香烤魚排青醬燉飯/109x.65 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：魔王愛吃辣雞堡/65,鹹食,鹹食
：紅心芭樂/$38 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：私房功夫菜 乾鍋雞便當/$109,便當,便當
大醇豆無加糖黑豆漿,飲料,飲料
： 酷聖霜 野莓馬卡龍 59元 https://www.elle.com/tw/life/hot-news/g71146375/7-11-kuromi-sale/ 7-11x酷洛米聯名酷聖霜全新「野莓馬卡龍」口味 酷聖霜霜淇淋也同步推出全新「野莓馬卡龍」口味，將經典綜合莓果結合法式馬卡龍元素 ，打造酸甜清新的層次風味。搭配鮮乳基底的濃郁奶香，口感細緻滑順，彷彿在吃一顆真 正的馬卡龍。 4/15至5/12期間，購買「雪淋霜」或「酷聖霜」霜淇淋任2支，即贈「KUROMI書籤」1個， 數量有限，送完為止。 (官方文案),冰品,冰品
：日式甜醬油、山葵風味霜淇淋 綜合/ 49,冰品,冰品
：香草卡士達甜甜圈/$49 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：燻雞起司米披薩卷/79X0.7 (區域型商品請註明 試吃試用品請標示價格0元),鹹食,鹹食
： 一顆布丁捲蛋糕 $49,甜點,甜點
：夏茉紅心芭樂/$38 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：抹茶QQ蛋糕捲/$55 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
： 7-11 純喫茶 金萱青茶(無糖) https://i.mopix.cc/wWyqqQ.jpg 650ML 原價$35 目前特價$29,零食,零食
：檸檬繽球西西里／嚐鮮價59$ （原價75$） (區域型商品請註明 試吃試用品請標示價格0元),其他,冰品
"： 特價29, 原價89 https://meee.com.tw/JEM1ZVe",其他,其他
：巧克力花生三明治 /49x0.7 (區域型商品請註明 試吃試用品請標示價格0元),麵包,麵包
：全家霜淇淋 起司+咖啡口味 應該是之前用剩的口味 口味表示是用手寫呈現 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
： 鹽蔥生鮭飯糰52 柚檸海灣貝飯糰49,便當,便當
：恐龍巧克力歐蕾 特價20 (區域型商品請註明 試吃試用品請標示價格0元),零食,零食
： 火腿起司蛋 凱薩堡 （限定販售）$69,乳品,乳品
：iseLect 嚴選素材經典拿鐵咖啡 / 30元(特價2件45元) (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：星級饗宴 柱侯牛腱飯 109元,便當,便當
：厚豆腐蛋白蕈菇豬肉堡 搭配 光泉優質蛋白巧克力牛乳 69元,飲料,飲料
： 249 最近扣100,其他,其他
： 39,其他,其他
： 35 2包55,其他,其他
：開心果霜淇淋/ 5支$188 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：藍莓乳酪貝果 $39,麵包,麵包
： 芬達汽水 葡萄口味 / 一件 $27、兩件 $49 (當下沒有記得很明確，好樣是這個價),飲料,飲料
：牛奶珈琲65元 / 黑糖牛奶珈琲65元,飲料,飲料
：微醉隨身搖曳杯組 309 (區域型商品請註明 試吃試用品請標示價格0元),其他,周邊
：廣達香肉鬆飯糰/ 一起結帳不確定價格 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：這不是菠蘿麵包30元,麵包,麵包
：塔塔醬蝦排飯糰/65 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：7-11 翻轉肉鬆飯糰/36元,便當,便當
： 芬達汽水葡萄口味（目前一瓶27元，兩瓶特價49元） https://i.imgur.com/jiqoO10.jpeg,飲料,飲料
：統一布丁-焦糖出走咘布,甜點,甜點
：厚豆腐蛋白蕈菇豬肉堡 $ 59,鹹食,鹹食
：地中海風味雞肉麵沙拉 / 89,便當,便當
：橘貓款冰棒襪套 3支冰+19元加購或6支冰免費送,冰品,冰品
：龜記 蘋果紅萱/$38 (區域型商品請註明 試吃試用品請標示價格0元),其他,飲料
：這不是抹茶鬆餅/39元 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：芭C檸檬綠/優惠59,飲料,飲料
：全家 蟹味可樂餅風炸飯糰 42（現在有搭配指定飲品59）,飲料,飲料
： 卡樂比海鹽洋芋片1000點+35元 東鳩超薄洋芋圈1000點+35元,零食,便當
：麻辣奶油鮮蝦義大利麵/149元,便當,便當
： 42,其他,其他
：89 (區域型商品請註明 試吃試用品請標示價格0元),其他,其他
： 鮮蝦旬彩炊飯飯糰 $39,便當,便當
：綿柔鮮奶土司/88折25元,飲料,飲料
：光泉生乳米漿 單件新品優惠29 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
： 55元 甜點兩件六九折,其他,其他
： 7-11 台韓半半炸雞便當 i珍食65折77元 (原價119元),便當,便當
：海鮮青醬焗飯 $89 (區域型商品請註明 試吃試用品請標示價格0元),其他,便當
：蜂蜜柚子霜淇淋 49 ibon票券優惠買一送一 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：焙韻隱山烏龍49/正男醬香烤飯糰49,飲料,飲料
：青檸紅茶馬卡龍/49 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：百吉孔雀餅乾雪糕 40 (區域型商品請註明 試吃試用品請標示價格 0元),冰品,冰品
：抹茶蒙布朗布丁/65 元 (活動期間八折 52 元) (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：抹茶白玉酷繽沙$59,冰品,冰品
：抹茶千層蛋糕/$59,甜點,甜點
： (區域型商品請註明 試吃試用品請標示價格0元) 55元 甜點兩件六九折,其他,其他
： 油雞99 獅子頭89,便當,便當
：抹茶生巧起斯塔/$45,甜點,甜點
： 巧克力雙餡Q皮雪燒55，搭咖啡半價,冰品,冰品
：光泉優質蛋白牛奶/一起結帳忘記了 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：伊藤園抹茶x 焦糖蘇打霜淇淋 $49,冰品,冰品
：巧克力雙餡Q皮雪燒 $55 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：御飯糰 高雄櫻花祭 生鮭魚夾心飯糰,便當,便當
：半熟玉子辣擔擔義大利麵/129,便當,便當
： 全家Fami!ce霜淇淋 伊藤園抹茶x焦糖蘇打/原價一支49元，3/6-10 5日5好康2支55元 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：原萃鍋煮風味麥茶/$30,飲料,飲料
：御飯糰 高雄櫻花祭 生鮭魚夾心飯糰 : 【便利商店/廠商名稱】：7-11 : 【規格/內容物/熱量】：141g 245大卡 : 【評分】：60 : (未滿60分為不推薦) : 【心得】： : https://images.plurk.com/5pa0IfBz5xXB5DmMrM7IGn.jpg : 成分表 吃完了才想要PO文所以沒照片 : 今天早餐在甜麵包(之前試試看維也納牛奶軟法+熱狗 吃起來很怪哈哈)跟這個之間抉擇 : 結果一吃完就馬上來當個版PO文 : 這個飯糰真的好鹹啊......而且看成分表裡說有山葵 可是我現在怎麼回味都沒有 : 就只記得這個好鹹 還是這是個別情況？ : 給60是因為我喜歡鮭魚 只吃肉也沒有太鹹 : 鈉含量也彷彿好像沒有太高啊 到底為什麼那麼鹹～～ --,飲料,飲料
：伊藤園抹茶霜淇淋 $49,冰品,冰品
：韓式辣醬鮪魚夾心吐司 40元 (區域型商品請註明 試吃試用品請標示價格0元),麵包,麵包
：抹茶霜淇淋兩支55/抹茶千層59,冰品,冰品
：抹茶霜淇淋 49 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
： 西雅圖 蜜香咖啡紅茶、四季春拿鐵 150 買一送一,飲料,飲料
： 蝦仁鹽味炒飯飯糰 $45,便當,便當
：極饗蕃茄蛋湯麵 89(I珍食58） (區域型商品請註明 試吃試用品請標示價格0元),泡麵,泡麵
：全家排球少年 給我五分鐘茶包式咖啡/ 199 ；任二盒+59可加購撲 克牌,飲料,飲料
：好吃雞肉便當 89元,便當,便當
：惡魔乳酪生義大利麵/99,便當,便當
：乖乖奶油椰子霜淇淋 49 ibon票券優惠買一送一 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：北海道哈密瓜霜淇淋 隨買跨店取4支98 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：贅沢巧克力x哈密瓜霜淇淋49 冰心卡士達雙餡蛋糕49,冰品,冰品
：可可生甜甜圈/49 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：香烤魚排青醬燉飯 109元 i珍食*0.65,便當,便當
：原萃鍋煮風味麥茶/$30 p.s 現在新上市特價是一瓶$23 兩瓶$40,飲料,飲料
： 叉燒豚骨拉麵/109$（友善76$）,便當,便當
：巧克力千層蛋糕/59 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：得正 烘培烏龍奶/$39 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：伯朗黑糖奶茶 580ml / 原價 $35/件,飲料,飲料
： [滷財運大吉腿油飯 129元,便當,便當
： 星級饗宴-半筋半肉麻辣牛肉麵 價格168台幣 一路發,其他,其他
：提拉米蘇酷聖石霜淇淋 兩支88 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：貓貓尾巴捲蛋糕/39元 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
： 黃金雙層鱈魚招財堡/75元,其他,鹹食
：北海道哈密瓜霜淇淋49 第二支5元,冰品,冰品
：Rody摺疊置物箱 69折後$276(原價$399) (區域型商品請註明 試吃試用品請標示價格0元),其他,周邊
：明太子乳酪起司沙拉飯糰/35x.7 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
全家 喵咪布丁風味奶油包,甜點,甜點
：乖乖 馬上轉運箱$199 馬上貼春聯袋$149,零食,周邊
：果漾草莓麵包/30 (區域型商品請註明 試吃試用品請標示價格0元),麵包,麵包
：青醬雞絲熱壓吐司/70元,麵包,麵包
：7-11 新台味-麻油雞個人鍋 $69 65折$45,便當,便當
：7-11香鑽水果茶,飲料,飲料
：Amelie's Bagel 芝士乳酪火腿貝果/39元,麵包,麵包
：法式白醬洋芋 59*0.65 (區域型商品請註明 試吃試用品請標示價格0元),其他,便當
：韓式醬燉蛋 59 (區域型商品請註明 試吃試用品請標示價格0元),鹹食,鹹食
：韓式辣醬起司洋芋燒 79*0.65 (區域型商品請註明 試吃試用品請標示價格0元),乳品,便當
：阿里山極選綜合拿鐵原價90(跨店取5杯299兌換) 香草卡士達生甜甜圈49,飲料,飲料
：乖乖奶油椰子霜淇淋 49 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：嘉義油飯 69 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：唐揚雞飯99 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：贅沢巧克力霜淇淋/贅沢巧克力霜淇淋 都49$,冰品,冰品
： 香草可樂味雲餡泡芙/原價49友善時光35 北海道哈密瓜x贅沢巧克力 綜合冰淇淋/原價49 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：天婦羅蕎麥風味湯麵 $109,鹹食,鹹食
：開運黑糖發糕 45元 (區域型商品請註明 試吃試用品請標示價格0元),零食,零食
：樂事洋芋片榴槤/生啤酒 $35,飲料,飲料
：贅沢巧克力霜淇淋 隨買跨店取4支98 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：牛肝菌菇濃湯 65 (I珍食42元) (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：贅沢巧克力x哈密瓜霜淇淋/49元,冰品,冰品
： 佛跳牆 129元 惜福食堂 90元 (區域型商品請註明 試吃試用品請標示價格0元),其他,其他
：半熟玉子烤雞松露燉飯/129 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
： 59,其他,其他
： (區域型商品請註明 試吃試用品請標示價格0元) 米香台菜御品佛跳牆：159元 加賀屋-開運蒲燒鰻魚御膳：199元,其他,其他
：贅澤巧克力霜淇淋 $49,冰品,冰品
：38元 (區域型商品請註明 試吃試用品請標示價格0元),其他,其他
：LULU豬捏捏球罐頭盲盒 指定商品買滿168加109加購一款,其他,周邊
： 乖乖奶油椰子霜淇淋 49元 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：49，加購金湯匙18 (區域型商品請註明 試吃試用品請標示價格0元),其他,其他
：瓜瓜園 紫薯QQ球 49元 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
： 杜老爺香菜白巧雪脆雪糕 59 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
全家 立頓香菜奶茶,飲料,飲料
：極濃義式開心果雪糕 40 買一送一 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：福得生活 香菜布蕾 55 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：香腸嘎香菜風味捲餅 69*0.65 (區域型商品請註明 試吃試用品請標示價格0元),甜點,甜點
：(晶華)富貴海皇羹/159元 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
： 杏仁可可蜂蜜蛋糕/45 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：樂事 麻油雞口味/35 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：鮑滿福氣中華燴麵99/鮮乳坊馬鈴薯玉米濃湯55 折5元,飲料,飲料
：開心果千層塔/$55,甜點,甜點
：豬腳飯， 139元 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：鰻魚飯 139元 (區域型商品請註明 試吃試用品請標示價格0元),便當,便當
：果C果昔 哈瓜戀乳/$109,飲料,飲料
：鰻魚飯 139元 : 異了...飯上則是有著鰻魚的醬汁帶點微甜，會讓人一口接一口，主菜的鰻魚份量不少 ，? : 度偏薄，不過這價位沒什麼好嫌了。 : 結論：看到的話會回購，這份量女生吃應該是能吃飽，鰻魚也給的很實在，如果有惜福 食 : 七折價能入手，建議一定要試看看。 : https://i.imgur.com/qjkUePa.jpeg : https://i.imgur.com/X6fA5Gd.jpeg : https://i.imgur.com/GKJwoAv.jpeg 剛剛去吃 結果鰻魚比你小塊 https://i.mopix.cc/lQ1itr.jpg 有細刺要注意 https://i.mopix.cc/J9VKuz.jpg 口味不錯 就是貴 記得到app用點數換折價券 特價111 沒點數的用國泰自行無卡提款就有點數了 --,便當,便當
：LOTTE生巧克力派-法式濃巧口味 / 原價$89 友善時光$63,零食,零食
